diameter,density,mass,vm,pressure,primary_flow,particle_feed,state,source_file,tracker_id,cluster,proportion_bouncing,proportion_oscillating,proportion_penetrating
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,2.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,3.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,4.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,6.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,7.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,8.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,9.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,10.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,11.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,12.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,13.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,14.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,15.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,16.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,17.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,18.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,19.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,20.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,21.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,22.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,23.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,24.0,96,0.0,0.0,1.0
0.0001,800.0,4.18879e-10,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,25.0,96,0.0,0.0,1.0
